Nr. ;Datum; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  E-Mail ;  Newsletter
48;04.11.2016; Herr ; Prof. ; Hermann ; Neidhardt ; 26.4.1998 ; Am Oedingteich 95 ;12529; Schönefeld ; 030 / 25842105 ; 0177 / 1847361 ; 030 / 50976393 ; h.neidhardt@mail.xyz ; ja
49;13.04.2016; Frau ; Dr. ; Christine ; Lüth ; 1.8.1986 ; Mondstr. 77 ;98693; Roda ; 03677 / 91042316 ; 0170 / 4165247 ; 03677 / 37289553 ; c.lueth@mail.xyz ; ja
50;26.09.2016; Herr ; Dr. ; Michael ; Kappler ; 27.11.1970 ; Zum Guten Hirten 46 ;55481; Womrath ; 06763 / 60517958 ; 0165 / 1403664 ; 06763 / 66819210 ; m.kappler@mail.xyz ; ja
51;13.03.2016; Herr ; Dr. ; Carl ; Schwalm ; 6.6.1947 ; Maximilianstr. 190 ;54317; Osburg ; 0651 / 25659985 ; 0176 / 5868139 ; 0651 / 83263800 ; carl.schwalm@mail.xyz ; ja
52;27.03.2016; Herr ; Dr. ; Karlo ; Bäcker ; 15.2.1941 ; Guntherstr. 43 ;87527; Ofterschwang ; 08321 / 14050181 ; 0154 / 4280743 ; 08321 / 40752044 ; karlo.baecker@mail.xyz ; ja
53;28.01.2016; Herr ; Dr. ; Heinz ; Schaffer ; 21.4.1966 ; Mecklenbecker Str. 109 ;56291; Mühlpfad ; 06747 / 98861217 ; 0162 / 3819472 ; 06747 / 93895608 ; h.schaffer@mail.xyz ; ja
54;19.02.2016; Herr ; Dr. ; Yannik ; Schäfers ; 5.12.1954 ; Rückertstr. 23 ;86703; Rögling ; 09094 / 23293429 ; 0166 / 7578531 ; 09094 / 78823678 ; yannik.schaefers@mail.xyz ; ja
55;13.03.2016; Frau ; Dr. ; Margarete ; Weinmann ; 28.7.1964 ; Skagerrakstr. 174 ;7389; Bucha ; 03663 / 11820868 ; 0173 / 5724364 ; 03663 / 40773605 ; m.weinmann@mail.xyz ; ja
56;26.09.2016; Herr ; Dr. ; Laurenz ; Bertram ; 18.9.1983 ; Dorotheenstr. 189 ;61250; Usingen ; 06081 / 31756823 ; 0178 / 7979889 ; 06081 / 25715569 ; l.bertram@mail.xyz ; ja
57;02.08.2016; Frau ; Dr. ; Kaya ; Silva ; 9.3.1990 ; Templerweg 20 ;25554; Landrecht ; 04823 / 14543857 ; 0175 / 6536595 ; 04823 / 82976285 ; kaya.silva@mail.xyz ; ja
58;18.07.2016; Herr ; Dr. ; Chris ; Stock ; 18.8.1986 ; Dreizehnerstr. 5 ;95336; Mainleus ; 09229 / 59464212 ; 0169 / 3759052 ; 09229 / 81768691 ; chris.stock@mail.xyz ; ja
59;23.03.2016; Herr ; Dr. ; Justus ; Harvey ; 2.6.1930 ; Heinrichstr. 84 ;21354; Bleckede ; 05852 / 35226770 ; 0160 / 3706318 ; 05852 / 46752020 ; j.harvey@mail.xyz ; ja
60;20.04.2016; Herr ; Dr. ; Erwin ; Zoellner ; 9.7.1983 ; Görlitzer Str. 121 ;74523; Schwäbisch Hall ; 0791 / 16656916 ; 0150 / 9447037 ; 0791 / 4112799 ; e.zoellner@mail.xyz ; ja
61;10.04.2016; Herr ; Dr. ; Mathias ; Rank ; 25.1.1929 ; Flaßkuhl 127 ;93092; Barbing ; 09401 / 76702800 ; 0179 / 7616499 ; 09401 / 95465023 ; m.rank@mail.xyz ; ja
62;06.03.2016; Herr ; Dr. ; Mert ; Bröker ; 27.3.1985 ; Sternstr. 199 ;21682; Stade ; 04141 / 79604464 ; 0179 / 8820247 ; 04141 / 87611943 ; m.broeker@mail.xyz ; ja
63;03.12.2016; Herr ; Dr. ; Mika ; Hackbarth ; 19.10.1979 ; Am Nubbenberg 50 ;25767; Osterrade ; 04835 / 50567001 ; 0153 / 6159639 ; 04835 / 15738258 ; m.hackbarth@mail.xyz ; ja
64;17.04.2016; Frau ; Dr. ; Ayleen ; Jacoby ; 28.11.1966 ; Rinscheweg 77a ;20088; Hamburg ; 040 / 4983738 ; 0176 / 2189229 ; 040 / 87994736 ; ayleen.jacoby@mail.xyz ; ja
65;27.09.2016; Herr ; Dr. ; Falk ; Teske ; 13.7.1944 ; Nieland 184 ;56829; Kail ; 02672 / 81755200 ; 0151 / 2113260 ; 02672 / 33925296 ; f.teske@mail.xyz ; ja
66;06.01.2016; Herr ; Prof. ; Emil ; Haberland ; 5.3.1986 ; Sporckweg 16 ;65329; Hohenstein ; 06120 / 95313508 ; 0179 / 5324093 ; 06120 / 71781104 ; e.haberland@mail.xyz ; ja
67;05.11.2016; Herr ; Dr. ; Siegfried ; Reinsch ; 16.3.1998 ; Piusstr. 52 ;29416; Siedenlangenbeck ; 03901 / 32798467 ; 0172 / 3626344 ; 03901 / 99224688 ; siegfried.reinsch@mail.xyz ; ja
68;04.06.2016; Herr ; Dr. ; Constantin ; Michaelis ; 28.7.1964 ; Zülpicher Str. 174 ;94051; Hauzenberg ; 08586 / 18902154 ; 0155 / 2294079 ; 08586 / 72955312 ; c.michaelis@mail.xyz ; ja
69;17.09.2016; Herr ; Dr. ; Joachim ; Dammann ; 8.7.1998 ; Steinfurter Str. 89 ;31188; Holle ; 05062 / 38621206 ; 0155 / 6098177 ; 05062 / 39617407 ; j.dammann@mail.xyz ; ja
70;20.02.2016; Frau ; Prof. ; Philine ; Mayr ; 13.5.1933 ; Ulmenweg 198 ;59302; Oelde ; 02522 / 78073051 ; 0176 / 4723753 ; 02522 / 15105971 ; p.mayr@mail.xyz ; ja
71;04.10.2016; Frau ; Dr. ; Marta ; Ladwig ; 9.8.1980 ; Hillscheider Weg 134 ;96257; Marktgraitz ; 09574 / 86489120 ; 0150 / 9299035 ; 09574 / 77354567 ; m.ladwig@mail.xyz ; ja
72;13.05.2016; Herr ; Dr. ; Maxim ; Falkenberg ; 12.6.1949 ; Memmertweg 41 ;55288; Armsheim ; 06732 / 10595176 ; 0164 / 9769483 ; 06732 / 61735281 ; m.falkenberg@mail.xyz ; ja
73;31.12.2016; Herr ; Dr. ; Oscar ; Clarke ; 26.1.1994 ; Morthorststr. 179 ;38381; Jerxheim ; 05354 / 25216056 ; 0168 / 3780590 ; 05354 / 42868548 ; o.clarke@mail.xyz ; ja
74;01.04.2016; Herr ; Dr. ; Johann ; Norton ; 27.3.1924 ; Mierendorffstr. 64 ;96274; Itzgrund ; 09533 / 67060561 ; 0166 / 5506622 ; 09533 / 90518514 ; j.norton@mail.xyz ; ja
75;11.11.2016; Herr ; Prof. ; Cedrik ; Gutsche ; 8.9.1958 ; Südstr. 118 ;9395; Hormersdorf ; 03721 / 72751920 ; 0154 / 5243848 ; 03721 / 56000748 ; c.gutsche@mail.xyz ; ja
76;22.02.2016; Frau ; Dr. ; Aylin ; Schwarze ; 19.8.1920 ; Rohrkampstr. 84 ;75387; Neubulach ; 07053 / 22911193 ; 0155 / 2326656 ; 07053 / 6077329 ; aylin.schwarze@mail.xyz ; ja
77;07.01.2016; Herr ; Prof. ; Justin ; Drescher ; 22.3.1997 ; Möserweg 88 ;91757; Treuchtlingen ; 09142 / 64411867 ; 0177 / 5469984 ; 09142 / 31422332 ; j.drescher@mail.xyz ; ja
78;07.06.2016; Frau ; Prof. ; Lea ; Homann ; 3.9.1924 ; Münsterstr. 156 ;99084; Erfurt ; 0361 / 75870380 ; 0155 / 2110763 ; 0361 / 1069134 ; lea.homann@mail.xyz ; ja
79;11.11.2016; Herr ; Dr. ; Luc ; Sass ; 25.12.1927 ; Ölbergstr. 144 ;56244; Freilingen ; 02666 / 41786621 ; 0172 / 1181115 ; 02666 / 87895980 ; luc.sass@mail.xyz ; ja
80;04.06.2016; Frau ; Dr. ; Paula ; Herwig ; 1.12.1966 ; Langestr. 75 ;55442; Daxweiler ; 06724 / 4058223 ; 0169 / 6877582 ; 06724 / 50642101 ; p.herwig@mail.xyz ; ja
81;22.03.2016; Frau ; Dr. ; Mathilda ; Bischof ; 11.10.1934 ; Ostlandstr. 109 ;46535; Dinslaken ; 02064 / 47231955 ; 0164 / 9605084 ; 02064 / 93786706 ; m.bischof@mail.xyz ; ja
82;29.07.2016; Herr ; Dr. ; Olaf ; Zimmermann ; 11.12.1983 ; Am Hörsterfriedhof 4 ;95199; Thierstein ; 09235 / 63371592 ; 0166 / 6368957 ; 09235 / 66427139 ; olaf.zimmermann@mail.xyz ; ja
83;28.08.2016; Frau ; Dr. ; Amely ; Garner ; 14.7.1986 ; Wormser Str. 195 ;4316; Mölkau ; 0341 / 90160942 ; 0176 / 7044144 ; 0341 / 86786007 ; amely.garner@mail.xyz ; ja
84;26.05.2016; Herr ; Dr. ; Till ; Kampe ; 12.12.1987 ; Möserweg 137 ;6774; Mühlbeck ; 03493 / 49850680 ; 0158 / 1687133 ; 03493 / 2826059 ; t.kampe@mail.xyz ; ja
85;04.06.2016; Herr ; Dr. ; Bernd ; Edinger ; 12.12.1987 ; Steinfurter Str. 50 ;67159; Friedelsheim ; 06322 / 78961169 ; 0179 / 3243277 ; 06322 / 84096877 ; bernd.edinger@mail.xyz ; ja
86;26.01.2016; Herr ; Prof. ; Yannik ; Bell ; 10.4.1949 ; Speestr. - 102 ;72293; Glatten ; 07443 / 67670485 ; 0165 / 7966410 ; 07443 / 82824740 ; yannik.bell@mail.xyz ; ja
87;09.12.2016; Herr ; Dr. ; Kay ; Gray ; 12.1.1958 ; Hüfferstr. 115 ;25597; Westermoor ; 04828 / 18976459 ; 0159 / 8857522 ; 04828 / 45366524 ; kay.gray@mail.xyz ; ja
88;06.10.2016; Herr ; Prof. ; Harald ; Simpson ; 10.8.1922 ; Heroldstr. 166 ;55566; Rehbach ; 06751 / 70832962 ; 0151 / 7402617 ; 06751 / 26584603 ; harald.simpson@mail.xyz ; ja
89;17.04.2016; Frau ; Prof. ; Gudrun ; Ziegler ; 26.2.1941 ; Rincklakeweg 100 ;9577; Niederwiesa ; 03726 / 72821731 ; 0167 / 5286978 ; 03726 / 32668106 ; gudrun.ziegler@mail.xyz ; ja
90;15.04.2016; Frau ; Dr. ; Joy ; Weigand ; 24.9.1959 ; Weißenburgstr. 60 ;2681; Wilthen ; 03592 / 5685136 ; 0163 / 3690097 ; 03592 / 98701415 ; joy.weigand@mail.xyz ; ja
91;29.11.2016; Frau ; Prof. ; Irmgart ; Saalmann ; 6.3.1957 ; Piusallee 172 ;14167; Lichterfelde ; 030 / 57934471 ; 0171 / 7349564 ; 030 / 94619850 ; irmgart.saalmann@mail.xyz ; ja
92;02.08.2016; Frau ; Dr. ; Diana ; Birnenmost ; 18.5.1989 ; Gescherweg 111 ;56307; Dürrholz ; 02684 / 85957029 ; 0167 / 3885095 ; 02684 / 28862927 ; diana.birnenmost@mail.xyz ; ja
93;18.09.2016; Herr ; Dr. ; Nik ; Hess ; 18.12.1974 ; Heroldstr. 132 ;86554; Pöttmes ; 08253 / 90240375 ; 0153 / 8370542 ; 08253 / 61431307 ; n.hess@mail.xyz ; ja
94;28.07.2016; Herr ; Dr. ; Joshua ; Robbins ; 21.2.1951 ; Norbertstr. 49 ;65552; Limburg an der Lahn ; 06431 / 38596240 ; 0177 / 4203770 ; 06431 / 58817183 ; j.robbins@mail.xyz ; ja
95;09.06.2016; Herr ; Dr. ; Oliver ; Buchholz ; 19.6.1952 ; Von-Holte-Str. 138 ;55234; Monzernheim ; 06244 / 50795290 ; 0175 / 7235056 ; 06244 / 59878803 ; o.buchholz@mail.xyz ; ja
96;06.11.2016; Herr ; Dr. ; Benedict ; Barrenbrügge ; 20.12.1959 ; Kurneystr. 68 ;2625; Bautzen ; 03591 / 87210959 ; 0172 / 8817806 ; 03591 / 93916576 ; benedict.barrenbruegge@mail.xyz ; ja
97;03.11.2016; Frau ; Dr. ; Käthe ; Ferguson ; 11.3.1951 ; Agrippastr. 129 ;96152; Burghaslach ; 09552 / 61782392 ; 0162 / 4744753 ; 09552 / 92462245 ; kaethe.ferguson@mail.xyz ; ja
98;24.12.2016; Frau ; Dr. ; Mareike ; Haake ; 22.3.1993 ; Raesfeldstr. 12 ;67746; Merzweiler ; 06382 / 2289044 ; 0176 / 5382266 ; 06382 / 85524654 ; mareike.haake@mail.xyz ; ja
99;29.11.2016; Frau ; Dr. ; Sandra ; Tietz ; 8.4.1962 ; Altenhofer Weg 144 ;7389; Seisla ; 03647 / 21094671 ; 0160 / 5621710 ; 03647 / 97884825 ; sandra.tietz@mail.xyz ; ja
100;27.05.2016; Herr ; Dr. ; Carlo ; Meurer ; 19.6.1931 ; Carossastr. 120 ;21037; Hamburg ; 040 / 1196159 ; 0165 / 2848710 ; 040 / 75182680 ; carlo.meurer@mail.xyz ; ja
101;09.06.2016; Frau ; Dr. ; Cornelia ; Hermann ; 24.6.1944 ; Von-der-Tinnen-Str. 54 ;99947; Hörselberg-Hainich ; 03622 / 21547924 ; 0159 / 3782882 ; 03622 / 56806250 ; c.hermann@mail.xyz ; ja
102;30.06.2016; Herr ; Dr. ; Johann ; De Vries ; 7.5.1927 ; Kappenberger Damm 34a ;27755; Delmenhorst ; 04221 / 39857169 ; 0173 / 2300961 ; 04221 / 63281604 ; j.de vries@mail.xyz ; ja
103;05.08.2016; Herr ; Prof. ; Benedict ; Heuser ; 23.5.1999 ; Hensenstr. 93 ;56357; Ruppertshofen ; 06772 / 14708170 ; 0153 / 6122202 ; 06772 / 85169073 ; benedict.heuser@mail.xyz ; ja
104;17.08.2016; Herr ; Dr. ; Günther ; Mack ; 14.7.1939 ; Wörthstr. 85 ;70174; Stuttgart ; 0711 / 9662959 ; 0177 / 6931653 ; 0711 / 53520394 ; guenther.mack@mail.xyz ; ja
105;01.12.2016; Herr ; Dr. ; Tomas ; Langenbach ; 22.11.1975 ; Franz-Peter-Kürten-Weg 73 ;64569; Nauheim ; 06152 / 24296387 ; 0159 / 9668006 ; 06152 / 48800315 ; t.langenbach@mail.xyz ; ja
106;04.07.2016; Herr ; Dr. ; Piet ; Ritter ; 6.7.1927 ; Rosenplatz 119 ;56599; Leutesdorf ; 02631 / 63421669 ; 0173 / 3224361 ; 02631 / 48533445 ; piet.ritter@mail.xyz ; ja
107;03.04.2016; Herr ; Dr. ; Bernd ; Walker ; 4.6.1920 ; Liboristr. 187 ;18573; Altefähr ; 03838 / 19421116 ; 0155 / 8038235 ; 03838 / 75009986 ; bernd.walker@mail.xyz ; ja
108;27.11.2016; Herr ; Prof. ; Tobias ; Breidenbach ; 8.10.1921 ; Schwalbenweg 103 ;37127; Dransfeld ; 05502 / 49669613 ; 0173 / 8189442 ; 05502 / 39410942 ; t.breidenbach@mail.xyz ; ja
109;06.03.2016; Herr ; Dr. ; Claus ; Brill ; 4.3.1938 ; Zur Wiese 174 ;84431; Heldenstein ; 08636 / 69568002 ; 0162 / 9166053 ; 08636 / 3024693 ; claus.brill@mail.xyz ; ja
110;29.08.2016; Frau ; Prof. ; Karina ; Kraft ; 27.4.1959 ; Schwalbenweg 184 ;56244; Rückeroth ; 02626 / 2751041 ; 0162 / 6817231 ; 02626 / 42855670 ; karina.kraft@mail.xyz ; ja
111;08.07.2016; Frau ; Dr. ; Joy ; Neumann ; 6.10.1992 ; Gleueler Str. 36 ;93342; Saal an der Donau ; 09441 / 5001415 ; 0170 / 3028213 ; 09441 / 81660745 ; j.neumann@mail.xyz ; ja
112;04.01.2016; Herr ; Dr. ; Benedikt ; Brenner ; 14.6.1945 ; Wiedehagen 87 ;86447; Todtenweis ; 08237 / 84530268 ; 0177 / 9745543 ; 08237 / 79940694 ; benedikt.brenner@mail.xyz ; ja
113;18.04.2016; Herr ; Dr. ; Philipp ; Riedl ; 5.10.1997 ; Methweg 132 ;57638; Neitersen ; 02681 / 73034955 ; 0172 / 6307175 ; 02681 / 10380240 ; philipp.riedl@mail.xyz ; ja
114;03.04.2016; Herr ; Dr. ; Viktor ; Schick ; 2.5.1945 ; Münzstr. 45 ;78713; Schramberg ; 07422 / 76596116 ; 0168 / 2116079 ; 07422 / 97893684 ; viktor.schick@mail.xyz ; ja
115;28.01.2016; Frau ; Prof. ; Sonja ; Scherer ; 10.5.1955 ; Sophienstr. 37 ;53925; Kall ; 02441 / 4400134 ; 0174 / 5127358 ; 02441 / 56056230 ; sonja.scherer@mail.xyz ; ja
